;participant_id;goal_id;goal;gcq_1;gcq_9;gcq_10;gcq_14;gcq_19;gcq_21;gcq_29;gcq_34;gcq_36;gcq_38;gcq_45;gcq_49;gcq_51;gcq_60;gcq_62;gcq_67;gcq_73;gcq_74;gcq_78;gcq_83;gcq_87;gcq_90;gcq_95;gcq_99;gcq_105;gcq_109;gcq_112;gcq_116;gcq_122;gcq_126;gcq_129;gcq_132
853;1380;pg_853;fachliche Kompetenz;0.63;0.55;0.52;0.8;0.76;0.61;0.57;0.61;0.59;0.72;0.62;0.76;1;0.74;0.82;1;0.87;0.96;0.64;0;0.99;0.99;0.81;0.85;0.88;0.93;0.81;0.83;0.69;0.71;0.71;0
858;1393;pg_858;Ich möchte meine Sprachkenntnisse verbessern (Englisch, Französisch, Türkisch);0.96;0.75;0.76;0.73;0.88;1;1;0.53;0.55;0.75;0.75;1;0.9;0.75;0.11;0.75;0.88;1;0.25;0.32;1;1;0.55;1;0.89;0;1;0.65;1;1;0.9;0.09
859;1393;pg_859;Ich möchte mein abstraktes Denken verbessern;0.4;0.43;0.64;0.53;0.55;0.54;1;0.75;0.15;0.52;0.75;0.45;0.6;0.64;0.75;0.53;0.58;0.58;0.72;0.64;0.56;0.93;0.56;1;0.64;0.63;0.59;0.66;0.34;0.36;0.58;0.52
860;1393;pg_860;Ich möchte eine berufliche Perspektive entwickeln;0.75;0.86;0.75;1;0.75;0.6;1;0.52;0.16;0.26;0.63;0.63;0.75;0.64;0.75;0.66;0.63;0.58;1;0.26;0.56;1;0.63;0.88;1;0.38;0.57;1;0.61;0.9;0.95;0.52
873;1435;pg_873;Ich möchte neben dem Studium anfangen bei einer Fluggesellschaft zu arbeiten.;1;1;0.99;0.98;1;1;1;1;0.24;1;0.77;0.83;0.76;0.76;0.86;0.81;0.8;0.81;0.05;0.08;0.77;0.82;0.71;0.78;0.79;0;0.79;0.79;0.78;0.9;0.81;0.25
874;1435;pg_874;Bereits viel praktische Erfahrungen sammeln;0.49;0.5;0.98;1;0.75;0.5;1;0.97;0.24;0.99;0.77;0.84;0.77;0.76;0.76;0.81;0.76;0.8;0.26;0.25;0.76;0.85;0.72;0.78;0.79;0;0.79;0.79;0.78;0.82;0.72;0.27
875;1435;pg_875;Gut in den Klausuren abschneiden ;0.76;1;0.99;0.75;0.5;0.5;0.77;0.26;0.77;0.99;0.75;0.83;0.77;0.26;0.78;0.8;0.71;0.81;0.75;0.25;0.77;0.81;0.5;0.78;0.8;0;0.79;0.78;0.78;0.62;0.48;0.28
880;1495;pg_880;Ich möchte ein Konzept für mich entwickeln, wie ich beide Berufe (Psychologie und Physiotherapie) verbinden kann.;0.73;0.74;1;1;0.95;0.48;1;0.28;0.3;0.99;0.99;0.39;1;0.35;1;0.99;0.03;0.22;0.99;0.26;1;0.99;1;1;1;0;1;1;1;0.99;1;0.08
881;1495;pg_881;Ich möchte Praktika machen, die mich in dem genannten Zeil weiterbringen.;0.24;0.24;0.5;1;0.95;0.23;1;0.91;0.22;0.35;0.69;0.71;1;1;1;0.52;0.03;0.23;0.99;1;0.81;0.98;0.99;0.99;0.69;0;0.76;1;0.25;1;1;0.07
882;1495;pg_882;Ich möchte wenig bis keine Schulden machen, da ich mir das Studium selbst finanziere;0.82;0.75;0.99;0.56;0.95;0.25;0;0.02;0.99;1;0.73;0.74;0.99;0.39;0.42;0.51;0.72;0.57;0.5;0.04;0.33;0.83;0.05;0.98;0.7;0;0.25;1;0.25;0.74;0;1
